Address1,Address2,Administrative Autority,County,Latitude,Longitude,Name,monday,tuesday,wednesday,thursday,friday,saturday,sunday,Email,Phone,Closed,Website
Bridge St," Abbeyfeale West,  Abbeyfeale,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.38397459999999,-9.301578,Abbeyfeale Library,closed,10am - 1pm    2pm - 5pm,1pm - 5pm   6pm - 8pm,1pm - 5pm   6pm - 8pm,10am - 1pm   2pm - 5pm,10am - 1pm   2pm - 5pm,,abbeyfealelibrary@limerick.ie,+353 68 32488,on the saturday of bank holiday weekends,https://www.limerick.ie/discover/eat-see-do/family-friendly/fun-things-do/libraries/abbeyfeale-library
Main St," Blackabbey,  Adare,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.564622,-8.790106,Adare Library,closed,"10am -1pm, 2pm – 5pm   6pm – 8pm",10am -1pm and 2pm – 5pm,"10am-1pm, 2pm – 5pm    6pm – 8pm",10am -1pm and 2pm – 5pm,10am – 1pm   2pm – 5pm,,adarelibrary@limerick.ie,+353 61 396822,on the saturday of bank holiday weekends,https://www.limerick.ie/discover/eat-see-do/family-friendly/fun-things-do/libraries/adare-library
The Quay," Askeaton,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.6008845,-8.973165400000003,Askeaton Library,closed,,,,,,,askeatonlibrary@gmail.com,+353 61 392256,,https://www.limerick.ie/discover/eat-see-do/family-friendly/fun-things-do/libraries/askeaton-library
Caherconlish Library," Hundredacres East,  Caherconlish,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.595662100000006,-8.4723136,Caherconlish Library,,,,,,,,,,,https://www.limerick.ie/discover/eat-see-do/family-friendly/fun-things-do/libraries/caherconlish-library
Gortnascarry," Cappamore,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.6154628,-8.335975399999999,Cappamore Library,Closed,10am - 1pm   2pm - 5pm,10am - 1pm   5pm - 8pm,10am - 1pm   2pm - 5pm,10am - 1pm   2pm - 5pm,,,cappamorelibrary@limerick.ie,+ 353 61 381586 ,,https://www.limerick.ie/discover/eat-see-do/family-friendly/fun-things-do/libraries/cappamore-library-and-art-studios
Crescent Shopping Centre," Dooradoyle Rd,  Dooradoyle,  Limerick,  Co. Limerick,  V94 AP03,  Ireland",Limerick City and County Council,Limerick,52.6393458,-8.646317699999999,Dooradoyle Library,closed,10am - 5.00pm,10am - 5pm,10am - 8.00pm,10am - 8.00pm,10am - 5.00pm,,dooradoylelibrary@limerick.ie,+353 61 556860,on the saturday of bank holiday weekends,https://www.limerick.ie/discover/eat-see-do/family-friendly/fun-things-do/libraries/dooradoyle-library
Dromcollogher Library," Church St,  Carroward East,  Dromcolliher,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.3391373,-8.9102031,Dromcollogher Library,- closed,,,,,,,dromcollogherlibrary@limerick.ie,+ 353 63 83011 ,,https://www.limerick.ie/discover/eat-see-do/family-friendly/fun-things-do/libraries/dromcollogher-library
Main St," Ballynacragga North,  Foynes,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.6111534,-9.10652,Foynes Library,,,,,,,,foyneslibrary@limerick.ie,+353 69 65365,,https://www.limerick.ie/discover/eat-see-do/family-friendly/fun-things-do/libraries/foynes-library
Galbally Library," Killinane,  Galbally,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.4004179,-8.294469900000001,Galbally Library,closed,,,,,,,galballylibrary@limerick.ie,+353 62 37100 ,,https://www.limerick.ie/discover/eat-see-do/family-friendly/fun-things-do/libraries/galbally-library
Main St," Ballynacragga North,  Foynes,  Co. Limerick,  Ireland",Limerick City and County Council,Limerick,52.6111534,-9.10652,Glin Library,closed,,,,,,,glinlibrary@limerick.ie,+ 353 68 26910,,https://www.limerick.ie/discover/eat-see-do/family-friendly/fun-things-do/libraries/glin-library
